categoryId,name,uri,product_id
380,Laptop,laptop,49568
5,Mac,mac,49568
387,MacBook Air,macbook-air,49568
2227,Macbook M2,m2-series,49568
2,Root,default-category,101619
4,Máy tính bảng,tablet,101619
944,iPad,ipad,101619
2222,Máy tính bảng AI,ai,101619
2510,iPad A16,ipad-a16,101619
380,Laptop,laptop,28229
5,Mac,mac,28229
387,MacBook Air,macbook-air,28229
2226,Macbook M1,m1-series,28229
2,Root,default-category,59258
3,Điện thoại,mobile,59258
132,Apple,apple,59258
1131,Điện thoại gaming,dien-thoai-gaming,59258
1601,Điện thoại pin trâu,dien-thoai-pin-trau,59258
1602,Điện thoại dung lượng lớn,dien-thoai-dung-luong-lon,59258
1603,Điện thoại cấu hình cao,dien-thoai-cau-hinh-cao,59258
1605,Điện thoại chụp ảnh/quay phim đẹp,dien-thoai-chup-anh-quay-phim,59258
2221,Điện thoại AI,ai,59258
2240,Chuẩn NFC,nfc,59258
2305,iPhone 16 Series,iphone-16,59258
4,Máy tính bảng,tablet,69906
138,Samsung,samsung,69906
2,Root,default-category,55189
4,Máy tính bảng,tablet,55189
944,iPad,ipad,55189
1437,iPad 10.9,ipad-10-9,55189
380,Laptop,laptop,101839
5,Mac,mac,101839
1055,Laptop đồ họa,do-hoa,101839
1056,Laptop mỏng nhẹ,mong-nhe,101839
1217,Laptop Văn phòng,van-phong,101839
1432,Laptop 13 inch ,laptop-13-inch,101839
387,MacBook Air,macbook-air,101839
2511,Macbook M4,m4-series,101839
380,Laptop,laptop,101832
5,Mac,mac,101832
1055,Laptop đồ họa,do-hoa,101832
1056,Laptop mỏng nhẹ,mong-nhe,101832
1217,Laptop Văn phòng,van-phong,101832
1432,Laptop 13 inch ,laptop-13-inch,101832
387,MacBook Air,macbook-air,101832
2511,Macbook M4,m4-series,101832
2,Root,default-category,84109
3,Điện thoại,mobile,84109
35,Samsung,samsung,84109
475,Galaxy S,galaxy-s,84109
2420,Galaxy S25 Series,s25-series,84109
2,Root,default-category,84110
3,Điện thoại,mobile,84110
35,Samsung,samsung,84110
475,Galaxy S,galaxy-s,84110
2420,Galaxy S25 Series,s25-series,84110
2,Root,default-category,67372
4,Máy tính bảng,tablet,67372
980,Xiaomi,xiaomi,67372
2,Root,default-category,93958
380,Laptop,laptop,93958
5,Mac,mac,93958
874,Mac mini,mini,93958
4,Máy tính bảng,tablet,69906
138,Samsung,samsung,69906
3,Điện thoại,mobile,43152
132,Apple,apple,43152
1131,Điện thoại gaming,dien-thoai-gaming,43152
1603,Điện thoại cấu hình cao,dien-thoai-cau-hinh-cao,43152
1605,Điện thoại chụp ảnh/quay phim đẹp,dien-thoai-chup-anh-quay-phim,43152
2221,Điện thoại AI,ai,43152
2240,Chuẩn NFC,nfc,43152
1392,iPhone 15 Series,iphone-15,43152
3,Điện thoại,mobile,58612
133,OPPO,oppo,58612
1131,Điện thoại gaming,dien-thoai-gaming,58612
1601,Điện thoại pin trâu,dien-thoai-pin-trau,58612
1602,Điện thoại dung lượng lớn,dien-thoai-dung-luong-lon,58612
1603,Điện thoại cấu hình cao,dien-thoai-cau-hinh-cao,58612
1605,Điện thoại chụp ảnh/quay phim đẹp,dien-thoai-chup-anh-quay-phim,58612
2240,Chuẩn NFC,nfc,58612
1111,Reno Series,reno-series,58612
380,Laptop,laptop,28229
5,Mac,mac,28229
387,MacBook Air,macbook-air,28229
2226,Macbook M1,m1-series,28229
2,Root,default-category,93647
4,Máy tính bảng,tablet,93647
2263,Teclast,teclast,93647
2,Root,default-category,94083
380,Laptop,laptop,94083
5,Mac,mac,94083
1055,Laptop đồ họa,do-hoa,94083
1056,Laptop mỏng nhẹ,mong-nhe,94083
1217,Laptop Văn phòng,van-phong,94083
1433,Laptop 14 inch,laptop-14-inch,94083
23,MacBook Pro,macbook-pro,94083
2401,Macbook Pro 2024,macbook-pro-2024,94083
2,Root,default-category,67372
4,Máy tính bảng,tablet,67372
980,Xiaomi,xiaomi,67372
2,Root,default-category,85242
3,Điện thoại,mobile,85242
340,Xiaomi,xiaomi,85242
1131,Điện thoại gaming,dien-thoai-gaming,85242
1601,Điện thoại pin trâu,dien-thoai-pin-trau,85242
1605,Điện thoại chụp ảnh/quay phim đẹp,dien-thoai-chup-anh-quay-phim,85242
2221,Điện thoại AI,ai,85242
2240,Chuẩn NFC,nfc,85242
1017,Redmi,redmi,85242
2434,Note 14 series,note-14-series,85242
2,Root,default-category,84110
3,Điện thoại,mobile,84110
35,Samsung,samsung,84110
475,Galaxy S,galaxy-s,84110
2420,Galaxy S25 Series,s25-series,84110
2,Root,default-category,101603
4,Máy tính bảng,tablet,101603
279,iPad Air,ipad-air,101603
944,iPad,ipad,101603
2509,iPad Air M3,ipad-air-m3,101603
2,Root,default-category,94091
380,Laptop,laptop,94091
5,Mac,mac,94091
1055,Laptop đồ họa,do-hoa,94091
1056,Laptop mỏng nhẹ,mong-nhe,94091
1217,Laptop Văn phòng,van-phong,94091
